id,source,pdf_page,table,original_detail_numbers,class_text,description,requirements,image,status
ntc-131-t02-d01,ntc,131,C4.2.XVI.a,1,"80 (a)
71 (b)
63 (c)
56 (d)
50 (e)
45 (f)
40 (g)","Giunti a croce o a T
1) Lesioni al piede della saldatura in giunti a
piena penetrazione o a
parziale
penetrazione
2) Lesione al piede della saldatura a partire
dal bordo del piatto caricato, in presenza
di picchi locali di tensione nelle parti
terminali della saldatura dovuti alla
deformabilità del pannello
(a) θ ≤ 50 mm e t qualsiasi
(b) 50< l≤ 80 mm e t qualsiasi
(c) 80< l ≤ 100 mm e t qualsiasi
(d) 100< l ≤ 120 mm e t qualsiasi
(d) l>120 mm e t ≤ 20 mm
(e) 120< l ≤ 200 mm e t >20 mm
(e) l>200 mm e 20 <t ≤ 30 mm
(f) 200< l ≤ 300 mm e t >30 mm
(f) l>300 mm e 30< t ≤ 50 mm
(g) l>300 mm e t >50 mm","1) II giunto deve essere controllato: le
discontinuità e i disallineamenti devono essere
conformi alle tolleranze della UNI EN 1090
2) Nel calcolo di ∆σ si deve far riferimento al
valore di picco delle tensioni, mediante un
opportuno fattore di concentrazione degli sforzi k
1) e 2) Il disallineamento dei piatti caricati non
deve superare il 15% dello spessore della piastra
intermedia",assets/details/ntc-131-t02-d01.png,extracted_not_engineering_validated
ntc-131-t02-d02,ntc,131,C4.2.XVI.a,2,"80 (a)
71 (b)
63 (c)
56 (d)
50 (e)
45 (f)
40 (g)","Giunti a croce o a T
1) Lesioni al piede della saldatura in giunti a
piena penetrazione o a
parziale
penetrazione
2) Lesione al piede della saldatura a partire
dal bordo del piatto caricato, in presenza
di picchi locali di tensione nelle parti
terminali della saldatura dovuti alla
deformabilità del pannello
(a) θ ≤ 50 mm e t qualsiasi
(b) 50< l≤ 80 mm e t qualsiasi
(c) 80< l ≤ 100 mm e t qualsiasi
(d) 100< l ≤ 120 mm e t qualsiasi
(d) l>120 mm e t ≤ 20 mm
(e) 120< l ≤ 200 mm e t >20 mm
(e) l>200 mm e 20 <t ≤ 30 mm
(f) 200< l ≤ 300 mm e t >30 mm
(f) l>300 mm e 30< t ≤ 50 mm
(g) l>300 mm e t >50 mm","1) II giunto deve essere controllato: le
discontinuità e i disallineamenti devono essere
conformi alle tolleranze della UNI EN 1090
2) Nel calcolo di ∆σ si deve far riferimento al
valore di picco delle tensioni, mediante un
opportuno fattore di concentrazione degli sforzi k
1) e 2) Il disallineamento dei piatti caricati non
deve superare il 15% dello spessore della piastra
intermedia",assets/details/ntc-131-t02-d02.png,extracted_not_engineering_validated
ntc-132-t01-d01,ntc,132,PDF-132-T1,4,45*,"Giunzioni a sovrapposizione
4) Giunzione a sovrapposizione a cordoni
d’angolo(verifica
degli
elementi
sovrapposti)","∆σ è riferito agli elementi sovrapposti
Le saldature devono terminare a più di 10 mm dal
bordo della piastra.
Le verifiche a fatica della saldatura per tensioni
tangen-ziali devono essere effettuate
in
riferimento al dettaglio 8 (Tabella C4.2.XVI.b)",assets/details/ntc-132-t01-d01.png,extracted_not_engineering_validated
ntc-132-t01-d02,ntc,132,PDF-132-T1,6,"56* (a)
50 (b)
45 (c)
40 (d)
36 (e)","Coprigiunti di travi e travi composte
6) Zone terminali di coprigiunti saldati singoli
o multipli, con o senza cordoni terminali
trasversali
(a) t< t e t ≤ 20 mm
(b) tc< t e 20 < t ≤ 30 mm
(b) tc≥ t e t ≤ 20 mm
(c) tc< t e 30 < t ≤ 50 mm
(c) tc≥ t e 20 < t ≤ 30 mm
(d) tc< t e t >50 mm
(d) tc≥ t e 30 < t ≤ 50 mm
(e) tc≥ t et >50 mm","Se il coprigiunto è più largo della flangia occorre
eseguire un cordone terminale trasversale, che
deve essere accuratamente molato per eliminare
le incisioni marginali
La lunghezza minima del coprigiunto è 300 mm",assets/details/ntc-132-t01-d02.png,extracted_not_engineering_validated
ntc-132-t01-d03,ntc,132,PDF-132-T1,3,36*,"Giunti a croce o a T
3) Lesione alla radice della saldatura in giunti
a T a cordoni d'angolo, a parziale
penetrazione e a parziale penetrazione
equivalente alla piena penetrazione","Nelle saldature a parziale penetrazione sono
richieste due verifiche: la prima riguardo alle
lesioni alla radice della saldatura deve essere
riferita alla classe 36* per Δσ e alla classe 80 per
∆τ, la seconda riguardo alle lesioni al piede della
saldatura nel piatto caricato deve essere riferita
alle classi dei dettagli 1 e 2 della presente tabella
Il disallineamento dei piatti caricati non deve
superare il 15% dello spessore della piastra
intermedia",assets/details/ntc-132-t01-d03.png,extracted_not_engineering_validated
ntc-132-t01-d04,ntc,132,PDF-132-T1,4,"come
dettaglio
1","Giunzioni a sovrapposizione
4) Giunzione a sovrapposizione a cordoni
d’angolo (verifica della piastra principale)","∆σ nella piastra principale deve essere calcolato
considerando l'area indicata in figura (diffusione
con pendenza 1:2)
Le saldature devono terminare a più di 10 mm dal
bordo della piastra.
Le verifiche a fatica della saldatura per tensioni
tangenziali devono essere effettuate in riferimento
al dettaglio 8 (Tabella C4.2.XVI.b)",assets/details/ntc-132-t01-d04.png,extracted_not_engineering_validated
ntc-132-t01-d05,ntc,132,PDF-132-T1,7,56,"Coprigiunti di travi e travi composte
7) Zone terminali di coprigiunti saldati con
cordone terminale rinforzato di lunghezza
minima 5 tc","Cordone trasversale rinforzato molato e
raccordato
Se t>20 mm, il raccordo, di pendenza non
maggiore di 1:4, deve essere esteso fino al bordo
superiore del coprigiunto",assets/details/ntc-132-t01-d05.png,extracted_not_engineering_validated
ntc-132-t02-d01-01,ntc,132,C4.2.XVI.b,8,80,"8) Cordoni d'angolo continui soggetti a sforzi
!p
sconnessione, quali quelli di
composizione tra anima e piattabanda in
travi composte saldate
9) Giunzioni a sovrapposizione a cordoni
d’angolo soggette a tensioni tangenziali","8) ∆τ deve essere calcolato in riferimento allal
sezione di gola del cordone
9) ∆τ deve essere calcolato in riferimento allal
sezione di gola del cordone, considerando lal
lunghezza totale del cordone, che deve terminarel
a più di 10 mm dal bordo della piastra",assets/details/ntc-132-t02-d01-01.png,extracted_not_engineering_validated
ntc-132-t02-d01-02,ntc,132,C4.2.XVI.b,9,80,"8) Cordoni d'angolo continui soggetti a sforzi
!p
sconnessione, quali quelli di
composizione tra anima e piattabanda in
travi composte saldate
9) Giunzioni a sovrapposizione a cordoni
d’angolo soggette a tensioni tangenziali","8) ∆τ deve essere calcolato in riferimento allal
sezione di gola del cordone
9) ∆τ deve essere calcolato in riferimento allal
sezione di gola del cordone, considerando lal
lunghezza totale del cordone, che deve terminarel
a più di 10 mm dal bordo della piastra",assets/details/ntc-132-t02-d01-02.png,extracted_not_engineering_validated
ntc-132-t03-d01,ntc,132,C4.2.XVII,1,160,1) Sezioni laminate ad I o H,"La classe è relativa ai delta di compressione
verticali ∆σvert indotti nell'anima dai carichi ruota",assets/details/ntc-132-t03-d01.png,extracted_not_engineering_validated
ntc-133-t01-d01,ntc,133,PDF-133-T1,2,71,2) Saldatura a piena penetrazione a T,"La classe è relativa ai delta di compressionel
verticali ∆σvert indotti nell'anima dai carichi ruota",assets/details/ntc-133-t01-d01.png,extracted_not_engineering_validated
ntc-133-t01-d02,ntc,133,PDF-133-T1,,36*,"a piena penetrazione equivalente a
parziale penetrazione","3) Saldatura a T a parziale penetrazione o La classe è relativa ai delta di compressione
verticali ∆σvert indotti nella sezione di gola della
saldatura dai carichi ruota",assets/details/ntc-133-t01-d02.png,extracted_not_engineering_validated
ntc-133-t01-d03,ntc,133,PDF-133-T1,4,36*,4) Saldature a cordone d’angolo,"La classe è relativa ai delta di compressionel
verticali ∆σvert indotti nella sezione di gola dellal
saldatura dai carichi ruota",assets/details/ntc-133-t01-d03.png,extracted_not_engineering_validated
ntc-133-t01-d04,ntc,133,PDF-133-T1,5,71,"5) Saldatura a T a piena penetrazione tra
anima e piattabanda a T","La classe è relativa ai delta di compressione
verticali Δσvert indotti nell'anima dai carichi ruota",assets/details/ntc-133-t01-d04.png,extracted_not_engineering_validated
ntc-133-t01-d05,ntc,133,PDF-133-T1,,36*,"parziale penetrazione tra anima e saldatura dai carichi ruota
piattabanda a T","6) Saldatura a T a parziale penetrazione o La classe è relativa ai delta di compressione
a piena penetrazione equivalente a verticali ∆σvert indotti nella sezione di gola dellal",assets/details/ntc-133-t01-d05.png,extracted_not_engineering_validated
ntc-133-t01-d06,ntc,133,PDF-133-T1,,36*,anima e piattabanda a T,"al  cl i c  s  a co o    c sn
verticali ∆σvert indotti nella sezione di gola dellal
saldatura dai carichi ruota",assets/details/ntc-133-t01-d06.png,extracted_not_engineering_validated
ec3-022-t01-d01-01,ec3,22,8.1,1,160,"Prodotti laminati ed estrusi:
1) lamiere;
2) profilati laminati;
3) profilati tubolari senza saldatura a
sezione rettangolare o circolare.","Particolari da 1) a 3):
Spigoli vivi, difetti
superficiali e di
laminazione da rimuovere
mediante rettifica fino ad
ottenere una transizione
graduale.",assets/details/ec3-022-t01-d01-01.png,extracted_not_engineering_validated
ec3-022-t01-d01-02,ec3,22,8.1,2,160,"Prodotti laminati ed estrusi:
1) lamiere;
2) profilati laminati;
3) profilati tubolari senza saldatura a
sezione rettangolare o circolare.","Particolari da 1) a 3):
Spigoli vivi, difetti
superficiali e di
laminazione da rimuovere
mediante rettifica fino ad
ottenere una transizione
graduale.",assets/details/ec3-022-t01-d01-02.png,extracted_not_engineering_validated
ec3-022-t01-d01-03,ec3,22,8.1,3,160,"Prodotti laminati ed estrusi:
1) lamiere;
2) profilati laminati;
3) profilati tubolari senza saldatura a
sezione rettangolare o circolare.","Particolari da 1) a 3):
Spigoli vivi, difetti
superficiali e di
laminazione da rimuovere
mediante rettifica fino ad
ottenere una transizione
graduale.",assets/details/ec3-022-t01-d01-03.png,extracted_not_engineering_validated
ec3-022-t01-d02,ec3,22,8.1,4,140,"Lamiere tagliate meccanicamente o
all’ossitaglio:
4) materiale tagliato all’ossitaglio
automatico o meccanicamente con
successiva levigatura;
5) materiale tagliato all’ossitaglio
automatico avente tracce del taglio
superficiale e regolare o materiale
tagliato all’ossitaglio manualmente e
successivamente levigato in modo tale
da rimuovere tutte le discontinuità dei
bordi.
Taglio all’ossitaglio con qualità del taglio
secondo la EN 1090.","4) Tutti i segni visibili di
discontinuità nei bordi
devono essere rimossi.
Tutte le aree di tagli
devono essere lavorate
meccanicamente o
molate e tutte le
sbavature devono essere
rimosse.
Tutte le abrasioni
meccaniche, per esempio
derivanti dalle operazioni
di molatura, possono
presentarsi solo
parallelamente alle
tensioni.
Particolari 4) e 5):
- angoli rientranti devono
essere rifiniti (pendenza
≤1⁄4) o valutati utilizzando
opportuni coefficienti di
concentrazione delle
tensioni;
- assenza di riparazioni
mediante saldatura.",assets/details/ec3-022-t01-d02.png,extracted_not_engineering_validated
ec3-022-t01-d03,ec3,22,8.1,5,125,"Lamiere tagliate meccanicamente o
all’ossitaglio:
4) materiale tagliato all’ossitaglio
automatico o meccanicamente con
successiva levigatura;
5) materiale tagliato all’ossitaglio
automatico avente tracce del taglio
superficiale e regolare o materiale
tagliato all’ossitaglio manualmente e
successivamente levigato in modo tale
da rimuovere tutte le discontinuità dei
bordi.
Taglio all’ossitaglio con qualità del taglio
secondo la EN 1090.","4) Tutti i segni visibili di
discontinuità nei bordi
devono essere rimossi.
Tutte le aree di tagli
devono essere lavorate
meccanicamente o
molate e tutte le
sbavature devono essere
rimosse.
Tutte le abrasioni
meccaniche, per esempio
derivanti dalle operazioni
di molatura, possono
presentarsi solo
parallelamente alle
tensioni.
Particolari 4) e 5):
- angoli rientranti devono
essere rifiniti (pendenza
≤1⁄4) o valutati utilizzando
opportuni coefficienti di
concentrazione delle
tensioni;
- assenza di riparazioni
mediante saldatura.",assets/details/ec3-022-t01-d03.png,extracted_not_engineering_validated
ec3-022-t01-d04-01,ec3,22,8.1,6,"100
m = 5","6) e 7)
Prodotti laminati ed estrusi come nei
particolari 1), 2), 3)","Particolari 6) e 7):
∆τ calcolati da:
       VS(t)
τ =   ----------
              It",assets/details/ec3-022-t01-d04-01.png,extracted_not_engineering_validated
ec3-022-t01-d04-02,ec3,22,8.1,7,"100
m = 5","6) e 7)
Prodotti laminati ed estrusi come nei
particolari 1), 2), 3)","Particolari 6) e 7):
∆τ calcolati da:
       VS(t)
τ =   ----------
              It",assets/details/ec3-022-t01-d04-02.png,extracted_not_engineering_validated
ec3-023-t01-d01,ec3,23,8.1,8,112,"8) Collegamenti
simmetrici con
doppio coprigiunto
e bulloni
precaricati ad alta
resistenza.

8) Collegamenti
simmetrici con
doppio coprigiunto
e bulloni stampati
precaricati.

8) ∆σ calcolato
sulla sezione
trasversale lorda.

8) ... sezione
trasversale lorda.","In generale per
connessioni bullonate
[Particolari da 8) a 13)]:





Distanza dal bordo:
e1 ≥ 1,5 d





Distanza dal bordo:
e2 ≥ 1,5 d





Interasse:
p1 ≥ 2,5 d





Interasse:
p2 ≥ 2,5 d




Dettagli costruttivi figura
3.1 della EN 1993-1-8",assets/details/ec3-023-t01-d01.png,extracted_not_engineering_validated
ec3-023-t01-d02,ec3,23,8.1,9,90,"9) Collegamenti
simmetrici con
doppio coprigiunto
e bulloni calibrati.

9) Collegamenti
simmetrici con
doppio coprigiunto
e bulloni stampati
non precaricati.

9) ... sezione
trasversale netta.

9) ... sezione
trasversale netta.","In generale per
connessioni bullonate
[Particolari da 8) a 13)]:





Distanza dal bordo:
e1 ≥ 1,5 d





Distanza dal bordo:
e2 ≥ 1,5 d





Interasse:
p1 ≥ 2,5 d





Interasse:
p2 ≥ 2,5 d




Dettagli costruttivi figura
3.1 della EN 1993-1-8",assets/details/ec3-023-t01-d02.png,extracted_not_engineering_validated
ec3-023-t01-d03,ec3,23,8.1,10,90,"10) Collegamenti
con singolo
coprigiunto e
bulloni precaricati
ad alta resistenza.

10) Collegamenti
con singolo
coprigiunto e
bulloni stampati
precaricati.

10) ... sezione
trasversale lorda.

10) ... sezione
trasversale lorda.","In generale per
connessioni bullonate
[Particolari da 8) a 13)]:





Distanza dal bordo:
e1 ≥ 1,5 d





Distanza dal bordo:
e2 ≥ 1,5 d





Interasse:
p1 ≥ 2,5 d





Interasse:
p2 ≥ 2,5 d




Dettagli costruttivi figura
3.1 della EN 1993-1-8",assets/details/ec3-023-t01-d03.png,extracted_not_engineering_validated
ec3-023-t01-d04,ec3,23,8.1,11,90,"11) Elementi
strutturali con fori
sottoposti a forze
flessionali ed
assiali.

11) ... sezione
trasversale netta.","In generale per
connessioni bullonate
[Particolari da 8) a 13)]:





Distanza dal bordo:
e1 ≥ 1,5 d





Distanza dal bordo:
e2 ≥ 1,5 d





Interasse:
p1 ≥ 2,5 d





Interasse:
p2 ≥ 2,5 d




Dettagli costruttivi figura
3.1 della EN 1993-1-8",assets/details/ec3-023-t01-d04.png,extracted_not_engineering_validated
ec3-023-t01-d05,ec3,23,8.1,12,80,"12) Collegamenti
con singolo
coprigiunto e
bulloni calibrati.

12) Collegamenti
con singolo
coprigiunto e
bulloni stampati
non precaricati.

12) ... sezione
trasversale netta.

12) ... sezione
trasversale netta.","In generale per
connessioni bullonate
[Particolari da 8) a 13)]:





Distanza dal bordo:
e1 ≥ 1,5 d





Distanza dal bordo:
e2 ≥ 1,5 d





Interasse:
p1 ≥ 2,5 d





Interasse:
p2 ≥ 2,5 d




Dettagli costruttivi figura
3.1 della EN 1993-1-8",assets/details/ec3-023-t01-d05.png,extracted_not_engineering_validated
ec3-023-t01-d06,ec3,23,8.1,13,50,"13) Collegamenti
con singolo
coprigiunto o
simmetrici con
doppio coprigiunto
con bulloni non
precaricati in fori
aventi normali
tolleranze.
Assenza di
inversione del
carico.

13) ... sezione
trasversale netta.","In generale per
connessioni bullonate
[Particolari da 8) a 13)]:





Distanza dal bordo:
e1 ≥ 1,5 d





Distanza dal bordo:
e2 ≥ 1,5 d





Interasse:
p1 ≥ 2,5 d





Interasse:
p2 ≥ 2,5 d




Dettagli costruttivi figura
3.1 della EN 1993-1-8",assets/details/ec3-023-t01-d06.png,extracted_not_engineering_validated
ec3-024-t01-d01,ec3,24,8.1,14,"50
Effetto scala
per ι> 30 mm:
ks = (30/ι)0,25","14) Bulloni e barre aventi filettature
laminate o tagliate soggette a
trazione.
Per grandi diametri (tirafondi)
l’effetto scala deve essere preso in
considerazione con ks.","14) ∆σ calcolato
utilizzando l’area
resistente a trazione del
bullone.
Flessione e trazione
causate da effetti leva e
tensioni da flessione
derivanti da altre fonti
devono essere
considerate.
Per bulloni precaricati, la
riduzione dell’intervallo di
variazione della tensione
può essere preso in
considerazione.",assets/details/ec3-024-t01-d01.png,extracted_not_engineering_validated
ec3-024-t01-d02,ec3,24,8.1,15,"100
m = 5","Bulloni sollecitati a taglio con
sezione di taglio singola o doppia
15)
- bulloni calibrati;
- bulloni normali in assenza di
inversione del carico (bulloni di
classe 5.6, 8.8 o 10.9).","15)
∆τ calcolata utilizzando
l’area del gambo del
bullone.",assets/details/ec3-024-t01-d02.png,extracted_not_engineering_validated
ec3-024-t02-d01-01,ec3,24,8.2,1,125,"Saldature longitudinali continue:
1) Saldature automatiche di testa
eseguite da entrambi i lati.
2) Saldature automatiche a cordone
d’angolo. Le estremità della piastra
coprigiunto devono essere verificate
utilizzando il particolare 6) o 7) nel
prospetto 8.5.","Particolari 1) e 2):
Non sono permesse
interruzioni/riprese ad
eccezione del caso in cui
la riparazione è eseguita
da un tecnico qualificato e
sia effettuato un controllo
per verificare la corretta
esecuzione della
riparazione.",assets/details/ec3-024-t02-d01-01.png,extracted_not_engineering_validated
ec3-024-t02-d01-02,ec3,24,8.2,2,125,"Saldature longitudinali continue:
1) Saldature automatiche di testa
eseguite da entrambi i lati.
2) Saldature automatiche a cordone
d’angolo. Le estremità della piastra
coprigiunto devono essere verificate
utilizzando il particolare 6) o 7) nel
prospetto 8.5.","Particolari 1) e 2):
Non sono permesse
interruzioni/riprese ad
eccezione del caso in cui
la riparazione è eseguita
da un tecnico qualificato e
sia effettuato un controllo
per verificare la corretta
esecuzione della
riparazione.",assets/details/ec3-024-t02-d01-02.png,extracted_not_engineering_validated
ec3-024-t02-d02-01,ec3,24,8.2,3,112,"3) Saldature automatiche a cordoni
d’angolo o di testa eseguite da entrambi
i lati, ma contenenti interruzioni/punti di
ripresa.
4) Saldature automatiche di testa
eseguite da un solo lato, con piatto
posteriore, ma senza interruzioni/punti
di ripresa.","4) Quando questo
particolare contiene
interruzioni/punti di
ripresa, utilizzare la
categoria 100.",assets/details/ec3-024-t02-d02-01.png,extracted_not_engineering_validated
ec3-024-t02-d02-02,ec3,24,8.2,4,112,"3) Saldature automatiche a cordoni
d’angolo o di testa eseguite da entrambi
i lati, ma contenenti interruzioni/punti di
ripresa.
4) Saldature automatiche di testa
eseguite da un solo lato, con piatto
posteriore, ma senza interruzioni/punti
di ripresa.","4) Quando questo
particolare contiene
interruzioni/punti di
ripresa, utilizzare la
categoria 100.",assets/details/ec3-024-t02-d02-02.png,extracted_not_engineering_validated
ec3-024-t02-d03-01,ec3,24,8.2,5,100,"5) Saldature manuali a cordoni d’angolo
o di testa.
6) Saldature manuali o automatiche di
testa eseguite da un solo lato, in
particolare per le travi a cassone.","5), 6) È essenziale un
buon contatto fra anime
ed ali. Preparare il bordo
dell’anima in modo da
renderlo idoneo per una
regolare penetrazione alla
radice senza rottura.",assets/details/ec3-024-t02-d03-01.png,extracted_not_engineering_validated
ec3-024-t02-d03-02,ec3,24,8.2,6,100,"5) Saldature manuali a cordoni d’angolo
o di testa.
6) Saldature manuali o automatiche di
testa eseguite da un solo lato, in
particolare per le travi a cassone.","5), 6) È essenziale un
buon contatto fra anime
ed ali. Preparare il bordo
dell’anima in modo da
renderlo idoneo per una
regolare penetrazione alla
radice senza rottura.",assets/details/ec3-024-t02-d03-02.png,extracted_not_engineering_validated
ec3-025-t01-d01,ec3,25,8.2,7,100,"7) Riparazioni di saldature automatiche
o manuali a cordoni d’angolo o di testa
per le categorie da 1) a 6).","7) Miglioramento tramite
molatura eseguita da un
tecnico qualificato per
rimuovere segni visibili e
adeguate verifiche
possono ripristinare la
categoria originaria.",assets/details/ec3-025-t01-d01.png,extracted_not_engineering_validated
ec3-025-t01-d02,ec3,25,8.2,8,80,8) Saldature longitudinali alternate.,"8) ∆σ basato sulla
tensione normale nell’ala.",assets/details/ec3-025-t01-d02.png,extracted_not_engineering_validated
ec3-025-t01-d03,ec3,25,8.2,9,71,"9) Saldature longitudinali di testa, a
cordoni d’angolo o alternate con
un’altezza del foro di scarico non
maggiore di 60 mm.
Per fori di scarico con un’altezza >60 mm
vedere particolare 1) nel prospetto 8.4.","9) ∆σ basato sulla
tensione normale nell’ala.",assets/details/ec3-025-t01-d03.png,extracted_not_engineering_validated
ec3-025-t01-d04,ec3,25,8.2,10,"125
112
90","10) Saldatura di testa longitudinale
livellata mediante rettifica su entrambi i
lati parallelamente alla direzione del
carico, 100% NDT.

10) Non molate e senza
interruzioni/punti di ripresa.

10) Con interruzioni/punti di ripresa.",,assets/details/ec3-025-t01-d04.png,extracted_not_engineering_validated
ec3-025-t01-d05,ec3,25,8.2,11,"140
125
90","11) Saldatura longitudinale automatica
di giunzione senza interruzioni/punti di
ripresa in profilati tubolari.

11) Saldatura longitudinale automatica
di giunzione senza interruzioni/punti di
ripresa in profilati tubolari.

11) Con interruzioni/punti di ripresa.","11) Assenza di difetti che
eccedono le tolleranze
della EN 1090.
Spessori di parete
t ≤ 12,5 mm.

11) Spessori di parete
t > 12,5 mm.",assets/details/ec3-025-t01-d05.png,extracted_not_engineering_validated
ec3-026-t01-d01-01,ec3,26,8.3,1,112,"Senza piatto posteriore:
1) Giunti trasversali in lamiere e
piatti.
2) Giunti di ali e anime in travi
composte prima dell’assemblaggio.
3) Profilati aventi sezioni trasversali
completamente saldate di testa o
profilati laminati senza fori di
scarico.
4) Giunti trasversali in piastre o piatti
rastremati nella larghezza o nello
spessore con una pendenza ≤1⁄4.","- Tutte le saldature
livellate mediante rettifica
fino alla superficie della
piastra in direzione
parallela alla freccia.
- Utilizzare talloni di
estremità e rimuoverli
successivamente,
livellare mediante rettifica
le estremità delle lamiere
in direzione della
tensione.
- Saldature su entrambi i
lati; verificate secondo
NDT.
Particolare 3):
Si applica solo a
collegamenti di profilati
laminati, tagliati e
risaldati.",assets/details/ec3-026-t01-d01-01.png,extracted_not_engineering_validated
ec3-026-t01-d01-02,ec3,26,8.3,2,112,"Senza piatto posteriore:
1) Giunti trasversali in lamiere e
piatti.
2) Giunti di ali e anime in travi
composte prima dell’assemblaggio.
3) Profilati aventi sezioni trasversali
completamente saldate di testa o
profilati laminati senza fori di
scarico.
4) Giunti trasversali in piastre o piatti
rastremati nella larghezza o nello
spessore con una pendenza ≤1⁄4.","- Tutte le saldature
livellate mediante rettifica
fino alla superficie della
piastra in direzione
parallela alla freccia.
- Utilizzare talloni di
estremità e rimuoverli
successivamente,
livellare mediante rettifica
le estremità delle lamiere
in direzione della
tensione.
- Saldature su entrambi i
lati; verificate secondo
NDT.
Particolare 3):
Si applica solo a
collegamenti di profilati
laminati, tagliati e
risaldati.",assets/details/ec3-026-t01-d01-02.png,extracted_not_engineering_validated
ec3-026-t01-d01-03,ec3,26,8.3,3,112,"Senza piatto posteriore:
1) Giunti trasversali in lamiere e
piatti.
2) Giunti di ali e anime in travi
composte prima dell’assemblaggio.
3) Profilati aventi sezioni trasversali
completamente saldate di testa o
profilati laminati senza fori di
scarico.
4) Giunti trasversali in piastre o piatti
rastremati nella larghezza o nello
spessore con una pendenza ≤1⁄4.","- Tutte le saldature
livellate mediante rettifica
fino alla superficie della
piastra in direzione
parallela alla freccia.
- Utilizzare talloni di
estremità e rimuoverli
successivamente,
livellare mediante rettifica
le estremità delle lamiere
in direzione della
tensione.
- Saldature su entrambi i
lati; verificate secondo
NDT.
Particolare 3):
Si applica solo a
collegamenti di profilati
laminati, tagliati e
risaldati.",assets/details/ec3-026-t01-d01-03.png,extracted_not_engineering_validated
ec3-026-t01-d01-04,ec3,26,8.3,4,112,"Senza piatto posteriore:
1) Giunti trasversali in lamiere e
piatti.
2) Giunti di ali e anime in travi
composte prima dell’assemblaggio.
3) Profilati aventi sezioni trasversali
completamente saldate di testa o
profilati laminati senza fori di
scarico.
4) Giunti trasversali in piastre o piatti
rastremati nella larghezza o nello
spessore con una pendenza ≤1⁄4.","- Tutte le saldature
livellate mediante rettifica
fino alla superficie della
piastra in direzione
parallela alla freccia.
- Utilizzare talloni di
estremità e rimuoverli
successivamente,
livellare mediante rettifica
le estremità delle lamiere
in direzione della
tensione.
- Saldature su entrambi i
lati; verificate secondo
NDT.
Particolare 3):
Si applica solo a
collegamenti di profilati
laminati, tagliati e
risaldati.",assets/details/ec3-026-t01-d01-04.png,extracted_not_engineering_validated
ec3-026-t01-d02-01,ec3,26,8.3,5,90,"5) Giunti trasversali in lamiere o
piatti.
6) Profilati aventi sezioni trasversali
completamente saldate di testa o
profilati laminati senza fori di
scarico.
7) Giunti trasversali in piastre o piatti
rastremati nella larghezza o nello
spessore con una pendenza ≤1⁄4.
Saldatura lavorata meccanicamente
per eliminare gli intagli.","- Altezza del
sovrametallo non
maggiore del 10% della
larghezza della
saldatura, con
transizione graduale fino
alla superficie della
piastra.
- Utilizzare talloni di
estremità e rimuoverli
successivamente,
livellare mediante rettifica
le estremità delle lamiere
in direzione della
tensione.
- Saldature su entrambi i
lati verificate secondo
NDT.

Particolari 5 e 7:
Saldature eseguite in
piano.",assets/details/ec3-026-t01-d02-01.png,extracted_not_engineering_validated
ec3-026-t01-d02-02,ec3,26,8.3,6,90,"5) Giunti trasversali in lamiere o
piatti.
6) Profilati aventi sezioni trasversali
completamente saldate di testa o
profilati laminati senza fori di
scarico.
7) Giunti trasversali in piastre o piatti
rastremati nella larghezza o nello
spessore con una pendenza ≤1⁄4.
Saldatura lavorata meccanicamente
per eliminare gli intagli.","- Altezza del
sovrametallo non
maggiore del 10% della
larghezza della
saldatura, con
transizione graduale fino
alla superficie della
piastra.
- Utilizzare talloni di
estremità e rimuoverli
successivamente,
livellare mediante rettifica
le estremità delle lamiere
in direzione della
tensione.
- Saldature su entrambi i
lati verificate secondo
NDT.

Particolari 5 e 7:
Saldature eseguite in
piano.",assets/details/ec3-026-t01-d02-02.png,extracted_not_engineering_validated
ec3-026-t01-d02-03,ec3,26,8.3,7,90,"5) Giunti trasversali in lamiere o
piatti.
6) Profilati aventi sezioni trasversali
completamente saldate di testa o
profilati laminati senza fori di
scarico.
7) Giunti trasversali in piastre o piatti
rastremati nella larghezza o nello
spessore con una pendenza ≤1⁄4.
Saldatura lavorata meccanicamente
per eliminare gli intagli.","- Altezza del
sovrametallo non
maggiore del 10% della
larghezza della
saldatura, con
transizione graduale fino
alla superficie della
piastra.
- Utilizzare talloni di
estremità e rimuoverli
successivamente,
livellare mediante rettifica
le estremità delle lamiere
in direzione della
tensione.
- Saldature su entrambi i
lati verificate secondo
NDT.

Particolari 5 e 7:
Saldature eseguite in
piano.",assets/details/ec3-026-t01-d02-03.png,extracted_not_engineering_validated
ec3-027-t01-d01,ec3,27,8.3,12,63,"12) Profilati aventi sezioni trasversali
completamente saldate di testa o
profilati laminati senza fori di scarico.","- Utilizzare talloni di
estremità e rimuoverli
successivamente,
livellare mediante rettifica
le estremità delle lamiere
in direzione della
tensione.
- Saldature su entrambi i
lati.",assets/details/ec3-027-t01-d01.png,extracted_not_engineering_validated
